S.No,Contaminant,Initial conc,Final Conc,%removal,Initial pH,Final pH,Current,Electrode Gap,Current Density,Voltage,Nacl conc,Residence Time,Reactor Volume,Electrode Material,Batch/Continuous,Electrode Area,Reference No.
,As,0.838,0.10475,87.5,7.4,7.4,0.1,1.5,10.0,,,5.8,1120.0,Fe,batch,100.0,40.0
,As,50.0,48.5,3.0,6.0,,0.8,5.0,42.10526316,,,5.0,2.0,Fe,Batch,190.0,
39.0,F,5.0,3.8,24.0,6.0,,2.38,2.0,100.0,,0.01,15.0,400.0,Fe ,batch,238.0,31.0
,As,30.0,0.6,98.0,6.0,,0.2,5.0,10.52631579,,,120.0,2.0,Fe,Batch,190.0,
180.0,F,10.0,2.61,73.9,9.0,7.96,1.0,3.0,275.8,25.0,,180.0,1000.0,Fe,batch,36.25,32.0
,F,7.27,4.64,36.18,6.0,,0.1184,0.6,40.0,,,15.0,0.45,Al,Batch,29.6,
,As,0.1,0.0245,75.5,7.4,7.23,0.017,1.3,0.8,0.25,,10.0,800.0,Fe,batch,219.0,43.0
,F,10.0,0.5,95.0,6.0,,8.0,0.5,50.0,,,60.0,8000.0,Al,batch,1600.0,16.0
,As,0.01,0.0022,78.0,10.0,,0.6,1.5,75.0,,,17.5,0.25,Fe,Batch,80.0,
31.0,F,10.0,8.8,12.0,7.0,,2.0,5.0,200.0,,0.1,15.0,1000.0,al,batch,100.0,30.0
79.0,F,5.0,0.975,80.5,6.0,10.0,4.76,2.0,200.0,,0.01,5.0,400.0,al,batch,238.0,31.0
,As,10.0,1.5,85.0,6.0,,0.4,5.0,21.05263158,,,30.0,2.0,Fe,Batch,190.0,
,As,0.1,0.0039,96.1,7.4,7.6,0.11,1.3,5.0,1.07,,10.0,800.0,Fe,batch,219.0,43.0
97.0,F,2.5,1.725,31.0,3.0,,0.45,,112.5,,,15.0,1000.0,Al-Fe,batch,40.0,14.0
,As,1.0,0.002,99.8,6.0,,0.8,5.0,42.10526316,,,15.0,2.0,Fe,Batch,190.0,
,As,0.1,0.05378,46.22,7.0,,0.35,1.0,6.25,,,6.0,1.7,Fe,Batch,560.0,
,F,7.27,2.04,71.88,7.0,,0.1184,0.6,40.0,,,21.0,0.45,Al,Batch,29.6,
,F,5.0,0.9,82.0,6.0,,4.0,0.5,25.0,,,60.0,8000.0,Al,batch,1600.0,16.0
,F,12.0,1.9908,83.41,7.0,9.4,1.792,1.0,35.0,,714.3,65.0,1400.0,Al,batch,512.0,39.0
,F,50.0,30.8,38.4,5.0,,1.992,3.0,83.0,,,10.0,2.0,Al,Batch,240.0,
67.0,As,0.0164,0.00246,85.0,5.0,,0.3,3.0,5.78,3.0,,90.0,1000.0,Al,continuous,51.9,8.0
,F,12.0,5.5008,54.16,7.0,8.8,0.512,1.0,10.0,,714.3,10.0,1400.0,Al,batch,512.0,39.0
